fight_id,event_id,fighter_1_id,fighter_2_id,winner_id,method,round,time,weight_class,is_title_fight
1,1,6,2,6,KO/TKO,1,4:08,Light Heavyweight,true
2,1,1,3,1,Decision,5,5:00,Heavyweight,false
3,2,7,4,7,Decision,5,5:00,Bantamweight,true
4,2,11,13,11,KO/TKO,1,2:13,Welterweight,false
5,3,3,5,5,KO/TKO,2,3:32,Featherweight,true
6,3,12,14,12,Submission,4,2:47,Lightweight,false
7,4,5,9,5,Decision,5,5:00,Middleweight,true
8,4,10,8,10,Decision,3,5:00,Women's Strawweight,false
9,5,4,15,4,Decision,5,5:00,Welterweight,true
10,5,2,7,2,Submission,3,4:15,Lightweight,false
11,6,6,1,6,KO/TKO,2,4:32,Light Heavyweight,true
12,6,13,11,13,Decision,3,5:00,Welterweight,false
13,7,2,3,2,Decision,5,5:00,Lightweight,true
14,7,14,12,12,Submission,2,3:51,Lightweight,false
15,8,5,6,5,Decision,5,5:00,Middleweight,true
16,8,18,19,18,KO/TKO,5,1:03,Middleweight,false
17,9,7,41,7,KO/TKO,1,2:37,Bantamweight,true
18,9,11,31,31,KO/TKO,1,4:20,Lightweight,false
19,10,31,32,32,KO/TKO,1,2:30,Lightweight,true
20,10,20,21,21,KO/TKO,2,3:17,Welterweight,false
21,11,3,25,3,Submission,4,3:04,Featherweight,true
22,11,19,30,30,Submission,1,1:32,Middleweight,false
23,12,61,62,62,Submission,2,4:19,Women's Bantamweight,true
24,12,71,72,72,Submission,2,3:31,Women's Strawweight,false
25,13,41,52,41,Decision,5,5:00,Bantamweight,true
26,13,33,38,33,Submission,1,2:25,Lightweight,false
27,14,6,18,6,KO/TKO,1,4:17,Light Heavyweight,true
28,14,31,11,31,Submission,2,2:32,Lightweight,false
29,15,4,20,4,Decision,5,5:00,Welterweight,true
30,15,24,28,24,Decision,3,5:00,Featherweight,false
31,16,1,17,1,Submission,1,2:04,Heavyweight,true
32,16,30,34,30,Submission,1,4:32,Lightweight,false
33,17,2,3,2,Decision,5,5:00,Lightweight,true
34,17,19,22,19,KO/TKO,2,1:17,Middleweight,false
35,18,92,93,92,Submission,1,1:49,Light Heavyweight,true
36,18,73,74,74,KO/TKO,1,2:58,Women's Strawweight,false
37,19,93,94,94,Decision,5,5:00,Light Heavyweight,true
38,19,95,96,95,KO/TKO,1,0:53,Light Heavyweight,false
39,20,18,6,6,KO/TKO,5,1:03,Middleweight,true
40,20,31,11,31,Submission,2,2:32,Lightweight,false
41,21,2,30,2,Submission,2,3:34,Lightweight,true
42,21,20,13,20,Decision,5,5:00,Welterweight,false
43,22,14,33,14,Decision,3,5:00,Welterweight,true
44,22,36,37,36,Decision,3,5:00,Lightweight,false
45,23,20,4,4,KO/TKO,5,0:56,Welterweight,true
46,23,31,11,31,KO/TKO,1,2:17,Lightweight,false
47,24,62,61,61,KO/TKO,5,1:13,Women's Bantamweight,true
48,24,72,71,71,Submission,2,4:20,Women's Strawweight,false
49,25,18,35,18,KO/TKO,2,2:01,Middleweight,true
50,25,3,24,3,Decision,5,5:00,Featherweight,false
51,26,92,91,91,Submission,2,0:28,Light Heavyweight,true
52,26,10,71,10,Submission,2,3:18,Women's Strawweight,false
53,27,30,32,30,Submission,1,1:38,Lightweight,true
54,27,31,11,31,Decision,5,5:00,Lightweight,false
55,28,3,26,3,Submission,3,3:25,Featherweight,true
56,28,19,18,19,Decision,5,5:00,Middleweight,false
57,29,21,13,21,KO/TKO,3,1:02,Welterweight,true
58,29,24,29,24,KO/TKO,1,3:35,Featherweight,false
59,30,18,19,18,Decision,5,5:00,Middleweight,true
60,30,4,20,4,KO/TKO,1,1:18,Welterweight,false
61,31,17,15,17,KO/TKO,2,4:45,Heavyweight,true
62,31,52,51,52,Decision,5,5:00,Flyweight,false
63,32,30,31,30,Submission,3,2:43,Lightweight,true
64,32,18,19,18,KO/TKO,1,2:41,Middleweight,false
65,33,20,21,20,Decision,5,5:00,Welterweight,true
66,33,71,72,71,Decision,5,5:00,Women's Strawweight,false
67,34,93,92,92,Submission,2,0:28,Light Heavyweight,true
68,34,2,30,2,Decision,5,5:00,Lightweight,false
69,35,3,25,3,Decision,5,5:00,Featherweight,true
70,35,16,32,16,KO/TKO,1,2:06,Heavyweight,false
71,36,16,17,17,KO/TKO,1,0:26,Heavyweight,true
72,36,31,11,31,Decision,5,5:00,Lightweight,false
73,37,31,11,11,KO/TKO,1,1:20,Lightweight,true
74,37,16,15,16,KO/TKO,1,4:20,Heavyweight,false
75,38,18,19,18,Decision,5,5:00,Middleweight,true
76,38,71,72,71,Submission,1,2:58,Women's Strawweight,false
77,39,30,35,30,Submission,3,4:28,Lightweight,true
78,39,16,15,16,Decision,5,5:00,Heavyweight,false
