fighter_id,fighter_name,nickname,height_cm,weight_lbs,reach_cm,stance,date_of_birth,nationality,weight_class
1,Jon Jones,Bones,193,240,215,Orthodox,1987-07-19,USA,Heavyweight
2,Islam Makhachev,,180,155,178,Orthodox,1991-09-27,Russia,Lightweight
3,Alexander Volkanovski,The Great,168,145,180,Orthodox,1988-09-29,Australia,Featherweight
4,Leon Edwards,Rocky,183,170,188,Orthodox,1991-08-25,England,Welterweight
5,Sean Strickland,,185,185,193,Orthodox,1991-02-27,USA,Middleweight
6,Alex Pereira,Poatan,193,205,201,Orthodox,1987-07-07,Brazil,Light Heavyweight
7,Sean O'Malley,Suga,180,135,183,Orthodox,1994-10-24,USA,Bantamweight
8,Alexandre Pantoja,,168,125,170,Orthodox,1990-04-16,Brazil,Flyweight
9,Raquel Pennington,Rocky,170,135,175,Orthodox,1988-09-05,USA,Women's Bantamweight
10,Zhang Weili,Magnum,164,115,160,Orthodox,1989-08-13,China,Women's Strawweight
11,Conor McGregor,The Notorious,175,155,188,Orthodox,1988-07-14,Ireland,Lightweight
12,Khabib Nurmagomedov,The Eagle,178,155,178,Orthodox,1988-09-20,Russia,Lightweight
13,Jorge Masvidal,Gamebred,180,170,188,Orthodox,1984-11-12,USA,Welterweight
14,Nate Diaz,,183,170,193,Orthodox,1985-04-16,USA,Welterweight
15,Daniel Cormier,DC,180,265,185,Orthodox,1979-03-20,USA,Heavyweight
16,Stipe Miocic,,193,240,203,Orthodox,1982-08-19,USA,Heavyweight
17,Francis Ngannou,The Predator,193,263,211,Orthodox,1986-09-05,Cameroon,Heavyweight
18,Israel Adesanya,The Last Stylebender,193,185,203,Orthodox,1989-07-22,Nigeria,Middleweight
19,Robert Whittaker,The Reaper,183,185,188,Orthodox,1991-12-20,Australia,Middleweight
20,Kamaru Usman,The Nigerian Nightmare,183,170,193,Orthodox,1987-05-11,Nigeria,Welterweight
21,Colby Covington,Chaos,180,170,183,Orthodox,1988-02-22,USA,Welterweight
22,Gilbert Burns,Durinho,175,170,180,Orthodox,1986-07-20,Brazil,Welterweight
23,Stephen Thompson,Wonderboy,188,170,193,Southpaw,1983-02-11,USA,Welterweight
24,Max Holloway,Blessed,180,145,175,Orthodox,1991-12-04,USA,Featherweight
25,Brian Ortega,T-City,180,145,175,Orthodox,1991-02-21,USA,Featherweight
26,Yair Rodriguez,El Pantera,180,145,178,Southpaw,1992-10-06,Mexico,Featherweight
27,Calvin Kattar,The Boston Finisher,175,145,178,Orthodox,1988-03-26,USA,Featherweight
28,Jose Aldo,Junior,170,145,173,Orthodox,1986-09-09,Brazil,Featherweight
29,Frankie Edgar,The Answer,168,145,170,Orthodox,1981-10-16,USA,Featherweight
30,Charles Oliveira,Do Bronx,178,155,188,Orthodox,1989-10-17,Brazil,Lightweight
31,Dustin Poirier,The Diamond,175,155,183,Orthodox,1989-01-19,USA,Lightweight
32,Justin Gaethje,The Highlight,180,155,183,Orthodox,1988-11-14,USA,Lightweight
33,Tony Ferguson,El Cucuy,180,155,188,Orthodox,1984-02-12,USA,Lightweight
34,Rafael dos Anjos,RDA,175,155,178,Orthodox,1984-10-26,Brazil,Lightweight
35,Michael Chandler,Iron,170,155,180,Orthodox,1986-04-24,USA,Lightweight
36,Beneil Dariush,,180,155,188,Orthodox,1989-05-06,USA,Lightweight
37,Dan Hooker,The Hangman,183,155,193,Orthodox,1990-02-13,New Zealand,Lightweight
38,Paul Felder,The Irish Dragon,180,155,188,Orthodox,1985-04-25,USA,Lightweight
39,Diego Sanchez,The Nightmare,175,155,178,Orthodox,1981-12-31,USA,Lightweight
40,Jim Miller,A-10,175,155,178,Orthodox,1983-08-30,USA,Lightweight
41,Aljamain Sterling,Funk Master,170,135,183,Orthodox,1989-07-31,USA,Bantamweight
42,Petr Yan,No Mercy,170,135,170,Southpaw,1993-02-11,Russia,Bantamweight
43,Cory Sandhagen,The Sandman,180,135,183,Orthodox,1992-04-20,USA,Bantamweight
44,Rob Font,,175,135,183,Orthodox,1987-06-25,USA,Bantamweight
45,Jose Aldo,Junior,170,135,173,Orthodox,1986-09-09,Brazil,Bantamweight
46,Marlon Vera,Chito,175,135,178,Orthodox,1992-12-02,Ecuador,Bantamweight
47,Pedro Munhoz,,168,135,173,Orthodox,1986-09-07,Brazil,Bantamweight
48,Dominick Cruz,The Dominator,173,135,173,Switch,1985-03-09,USA,Bantamweight
49,Urijah Faber,The California Kid,170,135,173,Orthodox,1979-05-14,USA,Bantamweight
50,TJ Dillashaw,,168,135,173,Switch,1986-02-07,USA,Bantamweight
51,Henry Cejudo,Triple C,163,125,160,Orthodox,1987-02-04,USA,Flyweight
